HVek	HPohlavi	HMesto	HMesto_X	HMesto_Y	HStat	PPobytOd	PNoci	POsob	PTypPobytu	PCenaUbytovani	PCenaStrava	PCenaSleva	PCenaCelkem	DHodnoceni	DUbytovani	DStrava	DPersonal	DZabava
62	muž	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	450.00	200.00	3880.00	prùmìr	50	59	55	51
27	žena	Jihlava	15.5909008	49.3963828	ÈR	9.6.2012	1	3	rekreaèní	3630.00	0.00	200.00	3430.00	prùmìr	58	54	58	64
24	muž	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	450.00	200.00	3880.00	prùmìr	28	55	43	33
77	žena	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	0.00	200.00	3430.00	prùmìr	50	54	58	36
30	žena	Mnichov	11.5836375	48.1364669	Nìmecko	9.6.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	44	66	42	57
56	žena	Mnichov	11.5836375	48.1364669	Nìmecko	11.6.2012	28	1	služební	33880.00	4200.00	200.00	37880.00	prùmìr	44	60	60	45
25	žena	Mnichov	11.5836375	48.1364669	Nìmecko	11.6.2012	28	2	služební	67760.00	0.00	200.00	67560.00	prùmìr	35	41	47	34
18	žena	Mnichov	11.5836375	48.1364669	Nìmecko	11.6.2012	28	1	služební	33880.00	4200.00	200.00	37880.00	prùmìr	58	66	55	50
43	muž	Mnichov	11.5836375	48.1364669	Nìmecko	11.6.2012	28	4	služební	135520.00	16800.00	200.00	152120.00	prùmìr	28	49	69	34
44	žena	Zlín	17.6700633	49.2280669	ÈR	11.6.2012	28	4	služební	135520.00	16800.00	200.00	152120.00	prùmìr	60	49	71	60
21	žena	Vídeò	16.3736767	48.2115631	Rakousko	12.6.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	8	21	26	4
70	muž	Brno	16.6153758	49.1921808	ÈR	15.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	59	55	54	48
65	muž	Salzburg	13.0475658	47.798095	Rakousko	16.6.2012	1	3	rekreaèní	3630.00	450.00	200.00	3880.00	prùmìr	49	67	56	61
70	muž	Praha	14.4212806	50.0874967	ÈR	18.6.2012	28	4	služební	135520.00	16800.00	200.00	152120.00	prùmìr	41	51	58	35
51	žena	Mnichov	11.5836375	48.1364669	Nìmecko	18.6.2012	28	4	služební	135520.00	0.00	200.00	135320.00	prùmìr	52	42	72	47
43	žena	Brno	16.6153758	49.1921808	ÈR	22.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	84	91	64	49
36	muž	Vídeò	16.3736767	48.2115631	Rakousko	22.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	35	42	42	63
71	žena	Katovice	19.0241283	50.2592108	Polsko	22.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	spokojen	87	100	61	53
41	muž	Praha	14.4212806	50.0874967	ÈR	22.6.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	98	84	99	27
18	žena	Brno	16.6153758	49.1921808	ÈR	22.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	33	66	60	48
29	muž	Pardubice	15.780415	50.0409775	ÈR	22.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	89	92	64	25
30	žena	Èeské Budìjovice	14.4757883	48.9763169	ÈR	22.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	98	92	87	27
52	muž	Drážïany	13.7397044	51.0497456	Nìmecko	23.6.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	6	22	26	1
65	žena	Drážïany	13.7397044	51.0497456	Nìmecko	23.6.2012	21	3	rekreaèní	76230.00	9450.00	200.00	85480.00	nespokojen	37	27	28	69
75	muž	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	95	95	61	50
76	žena	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	52	52	46	50
19	žena	Praha	14.4212806	50.0874967	ÈR	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	51	68	42	57
53	žena	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	spokojen	89	97	73	27
53	muž	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	34	65	43	51
73	muž	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	87	89	88	22
66	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	26	57	60	51
24	žena	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	spokojen	89	95	92	49
63	muž	Praha	14.4212806	50.0874967	ÈR	29.6.2012	20	1	rekreaèní	24200.00	0.00	200.00	24000.00	spokojen	94	88	88	58
40	žena	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	93	84	98	58
33	muž	Varšava	21.0099069	52.2342533	Polsko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	43	44	43	59
73	muž	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	3	rekreaèní	7260.00	0.00	200.00	7060.00	spokojen	96	89	74	59
18	muž	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	96	82	100	53
29	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	28	68	58	46
41	žena	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	spokojen	96	88	88	51
25	žena	Praha	14.4212806	50.0874967	ÈR	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	93	85	99	58
21	žena	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	42	49	41	58
54	žena	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	85	86	87	56
66	muž	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	83	83	92	21
29	muž	Praha	14.4212806	50.0874967	ÈR	29.6.2012	20	1	rekreaèní	24200.00	3000.00	200.00	27000.00	spokojen	99	95	89	21
24	muž	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	25	55	45	60
24	muž	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	spokojen	87	91	91	55
21	žena	Salzburg	13.0475658	47.798095	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	34	42	45	35
65	žena	Salzburg	13.0475658	47.798095	Rakousko	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	93	98	89	54
62	žena	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	89	98	74	49
53	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	66	45	47
56	žena	Praha	14.4212806	50.0874967	ÈR	29.6.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	97	83	90	23
25	muž	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	57	42	45	48
51	žena	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	spokojen	93	95	90	22
39	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	43	43	60	57
29	muž	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	92	88	76	21
30	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	4	rekreaèní	101640.00	12600.00	200.00	114040.00	nespokojen	15	36	24	4
31	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	13	38	30	3
29	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	1	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	39	23	27	38
20	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	16	21	37	55
21	žena	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	1	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	37	40	27	37
65	muž	Nitra	18.0902903	48.3139558	Slovensko	30.6.2012	1	1	rekreaèní	1210.00	150.00	200.00	1160.00	spokojen	89	97	76	57
67	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	2	rekreaèní	50820.00	6300.00	200.00	56920.00	nespokojen	16	39	16	40
43	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	2	rekreaèní	50820.00	0.00	200.00	50620.00	nespokojen	29	30	28	55
38	muž	Salzburg	13.0475658	47.798095	Rakousko	30.6.2012	21	1	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	40	26	24	69
35	žena	Ostrava	18.2825511	49.8341497	ÈR	6.7.2012	20	2	rekreaèní	48400.00	0.00	200.00	48200.00	spokojen	95	91	73	26
55	muž	Praha	14.4212806	50.0874967	ÈR	6.7.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	88	98	88	57
82	žena	Brno	16.6153758	49.1921808	ÈR	6.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	28	51	54	50
48	žena	Mnichov	11.5836375	48.1364669	Nìmecko	6.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	58	66	70	35
65	muž	Praha	14.4212806	50.0874967	ÈR	6.7.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	85	83	85	25
20	muž	Brno	16.6153758	49.1921808	ÈR	6.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	51	52	72	34
80	žena	Vídeò	16.3736767	48.2115631	Rakousko	6.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	41	53	33
77	muž	Vídeò	16.3736767	48.2115631	Rakousko	6.7.2012	2	3	rekreaèní	7260.00	900.00	200.00	7960.00	prùmìr	50	57	48	48
53	muž	Praha	14.4212806	50.0874967	ÈR	6.7.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	86	90	74	24
58	muž	Zlín	17.6700633	49.2280669	ÈR	6.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	43	65	55	64
75	žena	Vídeò	16.3736767	48.2115631	Rakousko	6.7.2012	20	2	rekreaèní	48400.00	0.00	200.00	48200.00	spokojen	83	89	85	24
81	muž	Vídeò	16.3736767	48.2115631	Rakousko	7.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	21	40	16	39
65	žena	Mnichov	11.5836375	48.1364669	Nìmecko	7.7.2012	1	2	rekreaèní	2420.00	0.00	200.00	2220.00	spokojen	100	89	90	26
31	muž	Nitra	18.0902903	48.3139558	Slovensko	7.7.2012	1	4	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	81	90	86	60
54	muž	Nitra	18.0902903	48.3139558	Slovensko	7.7.2012	1	2	rekreaèní	2420.00	0.00	200.00	2220.00	spokojen	96	92	98	25
31	muž	Nitra	18.0902903	48.3139558	Slovensko	7.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	98	97	87	59
54	muž	Salzburg	13.0475658	47.798095	Rakousko	7.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	83	97	73	49
77	muž	Vídeò	16.3736767	48.2115631	Rakousko	7.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	16	38	31	48
77	žena	Nitra	18.0902903	48.3139558	Slovensko	7.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	88	93	90	26
81	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	60	41	43	48
70	žena	Liberec	15.0663036	50.7709239	ÈR	13.7.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	51	57	45	61
38	muž	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	35	41	54	59
43	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	58	66	46	35
62	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	3	rekreaèní	7260.00	0.00	200.00	7060.00	prùmìr	58	65	57	59
74	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	57	68	71	52
82	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	51	49	58	46
74	muž	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	51	67	71	57
70	žena	Praha	14.4212806	50.0874967	ÈR	13.7.2012	20	1	rekreaèní	24200.00	0.00	200.00	24000.00	spokojen	94	81	89	53
42	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	51	59	55	34
40	muž	Ostrava	18.2825511	49.8341497	ÈR	13.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	50	43	70	51
53	muž	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	42	66	55	64
47	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	57	70	60
25	žena	Vídeò	16.3736767	48.2115631	Rakousko	14.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	16	30	27	38
25	muž	Gdaòsk	18.6560864	54.3482911	Polsko	14.7.2012	1	1	rekreaèní	1210.00	0.00	200.00	1010.00	spokojen	99	97	87	23
26	muž	Èeské Budìjovice	14.4757883	48.9763169	ÈR	14.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	91	88	73	59
76	žena	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	41	43	72	62
73	žena	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	49	66	43	36
58	muž	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	1	služební	1210.00	150.00	0.00	1360.00	prùmìr	44	54	46	58
74	muž	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	33	60	45	45
74	muž	Ústí nad Labem	14.0390819	50.6700692	ÈR	19.7.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	60	52	72	47
51	muž	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	1	služební	1210.00	150.00	0.00	1360.00	prùmìr	26	53	60	34
30	žena	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	26	65	54	48
35	muž	Mnichov	11.5836375	48.1364669	Nìmecko	19.7.2012	1	1	služební	1210.00	150.00	0.00	1360.00	prùmìr	49	53	57	47
31	muž	Plzeò	13.3771556	49.7490406	ÈR	20.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	25	51	42	50
58	žena	Linec	14.2862742	48.3066489	Rakousko	20.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	34	58	58	57
41	žena	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	35	44	54	58
35	žena	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	27	60	57	45
28	muž	Linec	14.2862742	48.3066489	Rakousko	20.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	60	57	58	36
36	žena	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	52	55	43	58
27	muž	Praha	14.4212806	50.0874967	ÈR	20.7.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	41	68	72	50
66	muž	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	42	44	42	51
33	žena	Linec	14.2862742	48.3066489	Rakousko	20.7.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	27	60	58	58
70	muž	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	58	57	41	60
80	muž	Ústí nad Labem	14.0390819	50.6700692	ÈR	20.7.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	30	26	24	53
24	muž	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	41	43	46	48
56	muž	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	26	65	69	64
36	žena	Nitra	18.0902903	48.3139558	Slovensko	21.7.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	29	29	25	2
81	žena	Vídeò	16.3736767	48.2115631	Rakousko	21.7.2012	7	1	rekreaèní	8470.00	0.00	200.00	8270.00	nespokojen	13	39	26	45
46	žena	Vídeò	16.3736767	48.2115631	Rakousko	21.7.2012	7	1	rekreaèní	8470.00	0.00	200.00	8270.00	nespokojen	31	26	15	47
20	žena	Vídeò	16.3736767	48.2115631	Rakousko	21.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	29	28	30	1
51	žena	Mnichov	11.5836375	48.1364669	Nìmecko	21.7.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	38	38	30	69
43	muž	Praha	14.4212806	50.0874967	ÈR	21.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	31	23	39	54
19	žena	Brno	16.6153758	49.1921808	ÈR	21.7.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	nespokojen	15	37	24	47
28	muž	Vídeò	16.3736767	48.2115631	Rakousko	21.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	31	38	21	71
22	muž	Praha	14.4212806	50.0874967	ÈR	21.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	83	89	62	49
41	žena	Salzburg	13.0475658	47.798095	Rakousko	24.7.2012	2	2	rekreaèní	4840.00	0.00	0.00	4840.00	spokojen	96	97	73	59
63	žena	Praha	14.4212806	50.0874967	ÈR	26.7.2012	1	1	služební	1210.00	150.00	0.00	1360.00	prùmìr	49	49	70	36
36	muž	Praha	14.4212806	50.0874967	ÈR	26.7.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	35	54	47	35
24	žena	Ústí nad Labem	14.0390819	50.6700692	ÈR	27.7.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	nespokojen	16	26	14	40
63	žena	Mnichov	11.5836375	48.1364669	Nìmecko	27.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	7	34	13	4
28	žena	Mnichov	11.5836375	48.1364669	Nìmecko	27.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	51	67	42	62
76	žena	Praha	14.4212806	50.0874967	ÈR	27.7.2012	7	4	rekreaèní	33880.00	0.00	200.00	33680.00	nespokojen	37	30	23	39
62	muž	Linec	14.2862742	48.3066489	Rakousko	27.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	50	44	60	58
39	muž	Ústí nad Labem	14.0390819	50.6700692	ÈR	27.7.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	8	28	29	70
35	žena	Linec	14.2862742	48.3066489	Rakousko	27.7.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	50	56	59	62
25	žena	Ústí nad Labem	14.0390819	50.6700692	ÈR	27.7.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	nespokojen	31	36	13	45
22	žena	Mnichov	11.5836375	48.1364669	Nìmecko	27.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	58	51	58	63
51	žena	Linec	14.2862742	48.3066489	Rakousko	27.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	57	66	69	61
67	muž	Nitra	18.0902903	48.3139558	Slovensko	28.7.2012	14	3	rekreaèní	50820.00	6300.00	200.00	56920.00	nespokojen	13	39	28	71
63	žena	Salzburg	13.0475658	47.798095	Rakousko	31.7.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	spokojen	92	83	100	28
31	žena	Salzburg	13.0475658	47.798095	Rakousko	31.7.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	spokojen	89	94	100	21
50	muž	Salzburg	13.0475658	47.798095	Rakousko	31.7.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	spokojen	81	85	87	49
55	žena	Salzburg	13.0475658	47.798095	Rakousko	31.7.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	spokojen	96	89	85	50
20	muž	Salzburg	13.0475658	47.798095	Rakousko	31.7.2012	2	2	rekreaèní	4840.00	0.00	0.00	4840.00	spokojen	81	96	64	57
55	žena	Salzburg	13.0475658	47.798095	Rakousko	31.7.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	spokojen	82	90	63	21
39	žena	Ústí nad Labem	14.0390819	50.6700692	ÈR	3.8.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	nespokojen	29	26	29	56
65	muž	Ústí nad Labem	14.0390819	50.6700692	ÈR	3.8.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	40	22	38	70
33	žena	Ústí nad Labem	14.0390819	50.6700692	ÈR	3.8.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	nespokojen	32	31	26	54
26	žena	Ústí nad Labem	14.0390819	50.6700692	ÈR	3.8.2012	7	4	rekreaèní	33880.00	0.00	200.00	33680.00	nespokojen	30	36	23	4
47	žena	Nitra	18.0902903	48.3139558	Slovensko	4.8.2012	14	2	rekreaèní	33880.00	4200.00	200.00	37880.00	nespokojen	16	23	38	37
33	muž	Nitra	18.0902903	48.3139558	Slovensko	4.8.2012	14	3	rekreaèní	50820.00	6300.00	200.00	56920.00	nespokojen	29	31	16	53
53	žena	Nitra	18.0902903	48.3139558	Slovensko	4.8.2012	14	3	rekreaèní	50820.00	6300.00	200.00	56920.00	nespokojen	24	27	40	38
39	žena	Nitra	18.0902903	48.3139558	Slovensko	4.8.2012	14	2	rekreaèní	33880.00	0.00	200.00	33680.00	nespokojen	22	30	30	39
66	muž	Nitra	18.0902903	48.3139558	Slovensko	4.8.2012	14	3	rekreaèní	50820.00	0.00	200.00	50620.00	nespokojen	21	32	14	2
51	žena	Nitra	18.0902903	48.3139558	Slovensko	4.8.2012	14	3	rekreaèní	50820.00	0.00	200.00	50620.00	nespokojen	5	39	39	39
27	muž	Nitra	18.0902903	48.3139558	Slovensko	4.8.2012	14	3	rekreaèní	50820.00	0.00	200.00	50620.00	nespokojen	40	29	23	46
76	žena	Brno	16.6153758	49.1921808	ÈR	6.8.2012	14	3	rekreaèní	50820.00	0.00	200.00	50620.00	spokojen	86	96	100	23
58	muž	Salzburg	13.0475658	47.798095	Rakousko	7.8.2012	2	3	rekreaèní	7260.00	900.00	0.00	8160.00	spokojen	96	91	64	52
72	muž	Salzburg	13.0475658	47.798095	Rakousko	7.8.2012	2	2	rekreaèní	4840.00	0.00	0.00	4840.00	spokojen	89	81	73	27
31	žena	Mnichov	11.5836375	48.1364669	Nìmecko	10.8.2012	2	3	rekreaèní	7260.00	900.00	200.00	7960.00	prùmìr	52	44	48	64
56	žena	Nitra	18.0902903	48.3139558	Slovensko	11.8.2012	14	1	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	32	29	30	56
30	muž	Brno	16.6153758	49.1921808	ÈR	13.8.2012	14	2	rekreaèní	33880.00	4200.00	200.00	37880.00	spokojen	98	98	85	49
28	žena	Brno	16.6153758	49.1921808	ÈR	13.8.2012	14	2	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	97	88	61	24
44	žena	Brno	16.6153758	49.1921808	ÈR	13.8.2012	14	2	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	95	94	73	25
53	žena	Brno	16.6153758	49.1921808	ÈR	13.8.2012	14	4	rekreaèní	67760.00	0.00	200.00	67560.00	spokojen	89	95	76	24
23	muž	Ostrava	18.2825511	49.8341497	ÈR	13.8.2012	14	2	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	93	92	74	57
56	žena	Salzburg	13.0475658	47.798095	Rakousko	14.8.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	prùmìr	26	65	70	58
63	muž	Salzburg	13.0475658	47.798095	Rakousko	14.8.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	spokojen	85	91	75	51
25	žena	Brno	16.6153758	49.1921808	ÈR	20.8.2012	14	2	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	94	93	74	58
50	žena	Vídeò	16.3736767	48.2115631	Rakousko	20.8.2012	14	2	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	99	86	64	59
25	muž	Brno	16.6153758	49.1921808	ÈR	20.8.2012	14	2	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	95	99	62	23
56	žena	Brno	16.6153758	49.1921808	ÈR	20.8.2012	14	2	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	86	89	98	27
38	muž	Varšava	21.0099069	52.2342533	Polsko	21.8.2012	7	1	rekreaèní	8470.00	0.00	200.00	8270.00	prùmìr	52	57	55	33
53	žena	Drážïany	13.7397044	51.0497456	Nìmecko	21.8.2012	7	1	rekreaèní	8470.00	0.00	200.00	8270.00	prùmìr	57	43	48	58
