HAge	HNationality	HPersons	HRoom	HVisitFrom	HNights	HPrice	HVisitType
79	GE	2	320	24.1.2013	1	2900	Tourist
36	CZ	1	120	25.1.2013	2	2900	Tourist
65	GE	1	230	25.1.2013	14	20300	Tourist
62	GE	2	120	25.1.2013	21	60900	Business
46	GE	2	120	26.1.2013	3	8700	Tourist
60	SK	2	230	30.1.2013	2	5800	Business
43	CZ	2	120	31.1.2013	21	60900	Tourist
22	SK	2	110	1.2.2013	14	40600	Tourist
38	CZ	2	230	1.2.2013	7	20300	Tourist
48	PL	2	120	1.2.2013	7	20300	Business
64	SK	2	120	3.2.2013	2	5800	Tourist
35	SK	4	310	4.2.2013	7	40600	Tourist
41	SK	2	310	5.2.2013	7	20300	Tourist
41	CZ	4	220	5.2.2013	9	52200	Tourist
54	SK	3	210	5.2.2013	7	30450	Tourist
76	SK	1	110	6.2.2013	2	2900	Business
65	CZ	2	130	8.2.2013	7	20300	Tourist
28	CZ	1	130	9.2.2013	7	10150	Tourist
61	CZ	1	210	10.2.2013	5	7250	Tourist
26	CZ	3	110	10.2.2013	14	60900	Tourist
34	CZ	2	240	11.2.2013	21	60900	Tourist
68	CZ	1	110	11.2.2013	2	2900	Tourist
70	CZ	1	320	12.2.2013	14	20300	Tourist
30	SK	2	230	12.2.2013	7	20300	Business
47	GE	2	220	12.2.2013	5	14500	Tourist
57	CZ	2	320	13.2.2013	2	5800	Business
30	CZ	1	230	14.2.2013	2	2900	Tourist
44	CZ	2	320	14.2.2013	7	20300	Tourist
58	CZ	1	310	15.2.2013	2	2900	Tourist
53	SK	2	310	15.2.2013	14	40600	Tourist
58	PL	2	240	15.2.2013	2	5800	Tourist
72	SK	3	230	16.2.2013	2	8700	Tourist
66	GE	2	130	16.2.2013	2	5800	Tourist
79	SK	4	310	17.2.2013	2	11600	Tourist
81	CZ	1	230	17.2.2013	7	10150	Tourist
55	CZ	1	240	18.2.2013	3	4350	Business
80	SK	2	230	20.2.2013	2	5800	Tourist
44	PL	2	120	20.2.2013	2	5800	Tourist
56	SK	1	210	21.2.2013	7	10150	Tourist
18	CZ	1	110	21.2.2013	1	1450	Tourist
35	SK	1	320	22.2.2013	2	2900	Business
46	GE	3	310	23.2.2013	14	60900	Tourist
46	SK	2	310	23.2.2013	7	20300	Business
18	SK	3	220	23.2.2013	5	21750	Tourist
50	GE	1	110	24.2.2013	21	30450	Tourist
59	CZ	2	240	24.2.2013	7	20300	Tourist
54	CZ	2	110	24.2.2013	1	2900	Tourist
74	PL	3	240	25.2.2013	2	8700	Tourist
76	CZ	2	130	25.2.2013	1	2900	Tourist
34	GE	2	240	26.2.2013	2	5800	Tourist
67	SK	2	110	1.3.2013	2	5800	Business
82	PL	2	120	1.3.2013	62	179800	Tourist
40	CZ	2	320	2.3.2013	7	20300	Tourist
29	GE	1	220	4.3.2013	14	20300	Tourist
55	CZ	2	230	5.3.2013	2	5800	Tourist
67	AT	2	110	5.3.2013	21	60900	Tourist
72	CZ	1	220	5.3.2013	4	5800	Tourist
49	GE	2	240	6.3.2013	21	60900	Tourist
51	AT	1	230	7.3.2013	14	20300	Tourist
58	SK	3	210	8.3.2013	21	91350	Tourist
60	GE	2	240	8.3.2013	7	20300	Tourist
19	SK	2	240	8.3.2013	2	5800	Business
41	CZ	2	240	9.3.2013	2	5800	Tourist
61	SK	1	120	9.3.2013	2	2900	Business
66	SK	2	210	10.3.2013	21	60900	Tourist
50	CZ	4	130	10.3.2013	9	52200	Business
61	GE	2	230	11.3.2013	4	11600	Business
70	AT	1	110	12.3.2013	2	2900	Tourist
32	CZ	2	210	13.3.2013	1	2900	Business
64	SK	2	230	13.3.2013	2	5800	Business
47	SK	2	320	13.3.2013	7	20300	Tourist
24	SK	1	240	14.3.2013	1	1450	Tourist
58	GE	2	110	15.3.2013	21	60900	Business
22	CZ	2	310	16.3.2013	2	5800	Tourist
38	GE	1	320	17.3.2013	14	20300	Tourist
59	CZ	4	320	18.3.2013	1	5800	Tourist
21	CZ	2	310	18.3.2013	21	60900	Tourist
18	CZ	1	120	18.3.2013	1	1450	Tourist
80	SK	1	320	18.3.2013	7	10150	Tourist
43	GE	2	220	19.3.2013	1	2900	Tourist
48	GE	1	110	22.3.2013	3	4350	Tourist
20	SK	4	310	23.3.2013	14	81200	Tourist
31	AT	3	220	24.3.2013	14	60900	Tourist
45	AT	2	210	25.3.2013	14	40600	Tourist
69	CZ	2	230	25.3.2013	15	43500	Tourist
25	CZ	2	120	25.3.2013	2	5800	Tourist
21	SK	2	230	26.3.2013	2	5800	Tourist
44	SK	2	130	26.3.2013	21	60900	Tourist
22	CZ	1	120	27.3.2013	7	10150	Tourist
67	SK	3	310	1.4.2013	7	30450	Tourist
33	CZ	1	120	1.4.2013	7	10150	Tourist
71	CZ	1	220	1.4.2013	7	10150	Tourist
75	GE	3	110	3.4.2013	21	91350	Tourist
26	AT	2	210	3.4.2013	14	40600	Tourist
53	CZ	1	310	3.4.2013	14	20300	Tourist
72	SK	1	310	3.4.2013	7	10150	Tourist
56	CZ	2	220	5.4.2013	7	20300	Tourist
53	CZ	1	110	6.4.2013	7	10150	Tourist
45	CZ	4	240	7.4.2013	7	40600	Tourist
63	CZ	2	240	7.4.2013	2	5800	Tourist
37	SK	4	240	7.4.2013	14	81200	Tourist
45	GE	1	310	7.4.2013	7	10150	Tourist
58	PL	2	230	8.4.2013	14	40600	Tourist
52	CZ	4	120	8.4.2013	2	11600	Tourist
45	CZ	3	110	8.4.2013	1	4350	Business
34	SK	2	120	8.4.2013	2	5800	Tourist
44	GE	2	240	8.4.2013	2	5800	Tourist
32	GE	1	240	11.4.2013	2	2900	Business
36	SK	3	110	12.4.2013	5	21750	Tourist
20	GE	2	120	12.4.2013	1	2900	Tourist
66	CZ	1	230	12.4.2013	1	1450	Tourist
61	SK	2	320	12.4.2013	14	40600	Tourist
42	SK	4	320	14.4.2013	2	11600	Business
47	CZ	2	230	14.4.2013	2	5800	Tourist
63	CZ	2	110	15.4.2013	21	60900	Tourist
72	SK	3	230	16.4.2013	2	8700	Tourist
27	CZ	2	210	18.4.2013	14	40600	Tourist
59	PL	4	310	18.4.2013	7	40600	Tourist
69	CZ	1	220	19.4.2013	2	2900	Tourist
37	SK	2	110	20.4.2013	14	40600	Tourist
57	GE	2	240	20.4.2013	7	20300	Tourist
48	CZ	1	120	22.4.2013	7	10150	Tourist
40	CZ	1	320	22.4.2013	14	20300	Business
24	CZ	1	210	25.4.2013	2	2900	Tourist
47	CZ	1	310	27.4.2013	7	10150	Tourist
51	GE	2	230	28.4.2013	2	5800	Tourist
79	GE	2	320	28.4.2013	2	5800	Tourist
61	SK	2	310	29.4.2013	3	8700	Tourist
59	SK	2	230	29.4.2013	7	20300	Business
21	CZ	1	230	30.4.2013	2	2900	Tourist
66	SK	1	210	30.4.2013	1	1450	Tourist
42	CZ	2	240	1.5.2013	14	40600	Tourist
38	GE	1	110	1.5.2013	2	2900	Tourist
67	SK	1	120	3.5.2013	2	2900	Tourist
62	CZ	2	210	4.5.2013	7	20300	Tourist
33	CZ	1	240	5.5.2013	7	10150	Business
82	SK	2	310	6.5.2013	2	5800	Tourist
29	CZ	2	110	7.5.2013	2	5800	Tourist
38	CZ	1	210	7.5.2013	3	4350	Business
81	PL	1	310	7.5.2013	1	1450	Tourist
52	CZ	1	320	8.5.2013	1	1450	Tourist
18	GE	1	120	8.5.2013	7	10150	Tourist
60	GE	2	230	9.5.2013	14	40600	Tourist
75	GE	2	320	12.5.2013	14	40600	Tourist
31	CZ	2	310	13.5.2013	10	29000	Tourist
19	CZ	4	240	13.5.2013	2	11600	Tourist
78	GE	4	130	14.5.2013	7	40600	Tourist
66	CZ	2	110	15.5.2013	2	5800	Tourist
46	GE	3	310	16.5.2013	2	8700	Tourist
50	CZ	1	240	19.5.2013	62	89900	Tourist
20	CZ	1	310	19.5.2013	21	30450	Tourist
70	CZ	2	320	20.5.2013	2	5800	Tourist
22	PL	1	130	20.5.2013	21	30450	Tourist
22	SK	1	120	20.5.2013	2	2900	Tourist
53	SK	4	230	21.5.2013	93	539400	Business
41	GE	2	310	21.5.2013	2	5800	Business
78	AT	1	110	22.5.2013	21	30450	Tourist
40	GE	2	320	23.5.2013	21	60900	Tourist
49	CZ	2	110	23.5.2013	2	5800	Tourist
35	CZ	1	210	27.5.2013	1	1450	Tourist
34	SK	2	240	28.5.2013	14	40600	Tourist
67	SK	2	240	28.5.2013	7	20300	Tourist
56	SK	1	120	28.5.2013	1	1450	Tourist
80	PL	2	130	29.5.2013	14	40600	Tourist
63	CZ	1	240	29.5.2013	14	20300	Tourist
19	SK	2	220	1.6.2013	1	2900	Business
18	CZ	1	210	2.6.2013	7	10150	Tourist
32	CZ	3	220	2.6.2013	2	8700	Tourist
40	CZ	1	220	2.6.2013	14	20300	Tourist
78	CZ	2	310	3.6.2013	2	5800	Tourist
62	GE	1	110	3.6.2013	21	30450	Tourist
32	SK	2	220	3.6.2013	7	20300	Tourist
56	SK	3	110	3.6.2013	2	8700	Tourist
22	SK	1	220	3.6.2013	2	2900	Tourist
79	AT	1	230	3.6.2013	1	1450	Tourist
81	SK	1	110	4.6.2013	6	8700	Business
66	SK	2	220	4.6.2013	2	5800	Tourist
25	SK	2	210	4.6.2013	21	60900	Business
69	CZ	3	130	4.6.2013	2	8700	Tourist
49	GE	4	310	4.6.2013	2	11600	Tourist
70	SK	1	130	6.6.2013	62	89900	Tourist
39	CZ	1	230	7.6.2013	9	13050	Tourist
20	SK	1	310	7.6.2013	7	10150	Tourist
27	SK	1	130	8.6.2013	21	30450	Tourist
21	GE	1	210	8.6.2013	14	20300	Tourist
35	CZ	1	220	8.6.2013	2	2900	Tourist
21	CZ	1	120	9.6.2013	2	2900	Tourist
28	SK	2	120	11.6.2013	2	5800	Tourist
55	CZ	2	310	12.6.2013	1	2900	Tourist
43	CZ	1	110	13.6.2013	1	1450	Tourist
49	SK	4	240	13.6.2013	7	40600	Tourist
20	PL	1	320	13.6.2013	21	30450	Business
61	GE	2	230	14.6.2013	7	20300	Tourist
47	GE	1	120	15.6.2013	14	20300	Tourist
73	CZ	1	130	16.6.2013	14	20300	Tourist
18	PL	1	120	16.6.2013	14	20300	Tourist
43	GE	2	240	17.6.2013	21	60900	Tourist
54	PL	1	210	18.6.2013	2	2900	Tourist
63	CZ	3	310	19.6.2013	21	91350	Business
32	CZ	1	230	20.6.2013	14	20300	Tourist
20	SK	2	210	23.6.2013	1	2900	Tourist
43	CZ	1	110	23.6.2013	7	10150	Tourist
76	CZ	1	110	23.6.2013	2	2900	Tourist
79	GE	2	110	24.6.2013	2	5800	Tourist
31	CZ	2	110	25.6.2013	2	5800	Tourist
66	SK	1	110	27.6.2013	7	10150	Tourist
62	GE	2	210	28.6.2013	14	40600	Business
23	CZ	2	310	28.6.2013	5	14500	Business
40	CZ	1	230	29.6.2013	1	1450	Tourist
79	PL	2	320	1.7.2013	2	5800	Tourist
62	GE	1	120	1.7.2013	1	1450	Business
51	CZ	1	210	1.7.2013	1	1450	Tourist
80	GE	1	110	3.7.2013	3	4350	Business
36	SK	2	240	4.7.2013	14	40600	Tourist
68	SK	2	230	4.7.2013	2	5800	Tourist
74	GE	1	320	4.7.2013	3	4350	Tourist
20	CZ	2	230	4.7.2013	2	5800	Tourist
46	CZ	2	320	4.7.2013	2	5800	Tourist
29	CZ	2	240	5.7.2013	62	179800	Business
52	SK	1	310	5.7.2013	2	2900	Tourist
69	CZ	2	230	5.7.2013	7	20300	Tourist
49	CZ	4	230	5.7.2013	14	81200	Tourist
24	CZ	2	110	8.7.2013	1	2900	Tourist
41	SK	2	110	8.7.2013	7	20300	Tourist
40	PL	1	110	9.7.2013	7	10150	Tourist
34	CZ	4	240	10.7.2013	14	81200	Tourist
54	SK	1	230	10.7.2013	1	1450	Tourist
61	PL	2	110	10.7.2013	1	2900	Tourist
60	CZ	1	130	11.7.2013	2	2900	Tourist
23	SK	2	210	12.7.2013	14	40600	Tourist
80	CZ	2	120	13.7.2013	21	60900	Tourist
63	GE	2	130	13.7.2013	2	5800	Tourist
51	PL	1	320	16.7.2013	2	2900	Tourist
56	CZ	1	110	17.7.2013	9	13050	Business
61	SK	1	320	19.7.2013	14	20300	Tourist
38	CZ	1	310	19.7.2013	2	2900	Tourist
18	SK	4	230	19.7.2013	14	81200	Tourist
20	SK	2	310	19.7.2013	2	5800	Business
58	CZ	2	310	19.7.2013	21	60900	Tourist
65	GE	1	110	20.7.2013	2	2900	Business
41	PL	1	320	21.7.2013	14	20300	Tourist
45	CZ	1	220	21.7.2013	2	2900	Tourist
47	GE	1	310	23.7.2013	14	20300	Tourist
20	CZ	1	110	24.7.2013	14	20300	Tourist
80	AT	2	130	24.7.2013	2	5800	Tourist
19	CZ	2	130	25.7.2013	7	20300	Business
56	GE	3	110	27.7.2013	2	8700	Tourist
63	CZ	1	120	28.7.2013	8	11600	Tourist
24	CZ	2	110	28.7.2013	21	60900	Tourist
73	GE	1	230	29.7.2013	14	20300	Business
42	AT	2	110	30.7.2013 0:00	62	179800	Tourist
56	CZ	4	310	30.7.2013 0:00	14	81200	Tourist
72	GE	2	120	30.7.2013 0:00	2	5800	Tourist
39	SK	2	130	31.7.2013 0:00	14	40600	Tourist
41	CZ	1	230	1.8.2013 0:00	21	30450	Tourist
33	PL	2	240	4.8.2013 0:00	14	40600	Tourist
24	SK	3	120	4.8.2013 0:00	2	8700	Tourist
68	SK	2	220	4.8.2013 0:00	21	60900	Business
76	CZ	1	320	5.8.2013 0:00	7	10150	Tourist
81	SK	2	220	6.8.2013 0:00	1	2900	Tourist
73	PL	2	120	7.8.2013 0:00	1	2900	Tourist
68	CZ	1	230	7.8.2013 0:00	2	2900	Tourist
68	CZ	2	120	7.8.2013 0:00	1	2900	Tourist
21	CZ	2	110	8.8.2013 0:00	21	60900	Tourist
70	CZ	3	110	8.8.2013 0:00	1	4350	Tourist
76	SK	1	240	9.8.2013 0:00	4	5800	Tourist
49	SK	1	110	9.8.2013 0:00	7	10150	Tourist
53	CZ	3	130	10.8.2013 0:00	2	8700	Tourist
22	CZ	2	310	11.8.2013 0:00	2	5800	Tourist
34	SK	2	240	11.8.2013 0:00	21	60900	Business
44	SK	4	320	11.8.2013 0:00	21	121800	Tourist
25	CZ	4	310	11.8.2013 0:00	1	5800	Tourist
19	CZ	1	220	12.8.2013 0:00	21	30450	Tourist
61	CZ	3	210	12.8.2013 0:00	1	4350	Tourist
67	CZ	2	110	12.8.2013 0:00	14	40600	Business
57	CZ	2	220	12.8.2013 0:00	2	5800	Tourist
54	SK	1	130	12.8.2013 0:00	2	2900	Tourist
70	SK	1	130	13.8.2013 0:00	2	2900	Business
68	GE	2	220	14.8.2013 0:00	7	20300	Tourist
48	PL	2	130	14.8.2013 0:00	62	179800	Tourist
66	CZ	2	320	14.8.2013 0:00	14	40600	Tourist
38	GE	4	320	18.8.2013 0:00	5	29000	Tourist
61	SK	2	120	18.8.2013 0:00	7	20300	Tourist
82	CZ	1	220	20.8.2013 0:00	21	30450	Tourist
61	CZ	4	310	20.8.2013 0:00	21	121800	Tourist
58	SK	3	320	21.8.2013 0:00	3	13050	Tourist
19	SK	1	110	21.8.2013 0:00	1	1450	Tourist
40	CZ	4	130	21.8.2013 0:00	1	5800	Tourist
21	CZ	1	240	22.8.2013 0:00	7	10150	Tourist
53	SK	1	230	22.8.2013 0:00	2	2900	Tourist
23	AT	2	320	24.8.2013 0:00	2	5800	Tourist
76	PL	1	240	25.8.2013 0:00	2	2900	Business
55	CZ	1	220	25.8.2013 0:00	21	30450	Business
57	AT	3	240	26.8.2013 0:00	7	30450	Tourist
75	CZ	2	120	26.8.2013 0:00	7	20300	Tourist
54	PL	1	110	27.8.2013 0:00	14	20300	Tourist
31	SK	1	310	27.8.2013 0:00	21	30450	Tourist
74	CZ	1	310	28.8.2013 0:00	21	30450	Tourist
62	CZ	2	120	28.8.2013 0:00	2	5800	Tourist
64	CZ	2	130	29.8.2013 0:00	21	60900	Tourist
21	CZ	2	240	29.8.2013 0:00	2	5800	Business
55	PL	2	230	30.8.2013 0:00	7	20300	Tourist
19	SK	1	310	31.8.2013 0:00	7	10150	Tourist
80	AT	3	230	1.9.2013 0:00	1	4350	Business
31	CZ	1	110	3.9.2013 0:00	21	30450	Tourist
51	CZ	1	310	5.9.2013 0:00	9	13050	Tourist
71	AT	1	210	6.9.2013 0:00	2	2900	Tourist
21	GE	1	310	6.9.2013 0:00	2	2900	Tourist
39	CZ	1	230	7.9.2013 0:00	2	2900	Business
74	AT	3	210	8.9.2013 0:00	1	4350	Tourist
49	CZ	4	320	8.9.2013 0:00	2	11600	Tourist
74	CZ	1	240	9.9.2013 0:00	7	10150	Tourist
60	SK	4	210	10.9.2013 0:00	14	81200	Tourist
55	PL	1	310	10.9.2013 0:00	21	30450	Tourist
46	CZ	1	240	10.9.2013 0:00	14	20300	Tourist
29	CZ	1	120	11.9.2013 0:00	21	30450	Business
57	CZ	2	310	11.9.2013 0:00	14	40600	Tourist
25	SK	1	110	13.9.2013 0:00	21	30450	Business
41	CZ	1	220	13.9.2013 0:00	62	89900	Business
63	CZ	1	120	14.9.2013 0:00	7	10150	Tourist
18	SK	1	120	15.9.2013 0:00	9	13050	Business
50	CZ	1	320	15.9.2013 0:00	93	134850	Tourist
47	CZ	2	110	16.9.2013 0:00	5	14500	Tourist
54	CZ	3	230	16.9.2013 0:00	62	269700	Business
57	SK	1	310	18.9.2013 0:00	14	20300	Tourist
19	SK	2	230	18.9.2013 0:00	14	40600	Tourist
42	SK	1	230	18.9.2013 0:00	2	2900	Tourist
60	SK	1	220	19.9.2013 0:00	2	2900	Tourist
68	SK	2	130	20.9.2013 0:00	1	2900	Business
56	GE	2	130	20.9.2013 0:00	21	60900	Tourist
18	CZ	2	130	21.9.2013 0:00	1	2900	Business
30	CZ	1	310	22.9.2013 0:00	2	2900	Tourist
30	SK	1	220	23.9.2013 0:00	2	2900	Tourist
37	AT	1	130	23.9.2013 0:00	7	10150	Tourist
58	CZ	1	220	24.9.2013 0:00	3	4350	Tourist
21	CZ	1	120	25.9.2013 0:00	2	2900	Tourist
65	CZ	1	220	26.9.2013 0:00	21	30450	Tourist
73	PL	2	210	27.9.2013 0:00	14	40600	Tourist
22	PL	2	320	27.9.2013 0:00	14	40600	Tourist
48	SK	3	230	28.9.2013 0:00	14	60900	Business
38	SK	2	230	29.9.2013 0:00	7	20300	Tourist
38	CZ	2	210	30.9.2013 0:00	2	5800	Tourist
71	CZ	3	210	30.9.2013 0:00	3	13050	Tourist
49	SK	1	210	3.10.2013 0:00	14	20300	Business
52	CZ	4	120	4.10.2013 0:00	1	5800	Tourist
47	CZ	4	110	5.10.2013 0:00	1	5800	Tourist
76	SK	1	110	5.10.2013 0:00	2	2900	Tourist
79	SK	1	210	6.10.2013 0:00	2	2900	Tourist
23	AT	2	310	7.10.2013 0:00	14	40600	Tourist
58	CZ	2	310	7.10.2013 0:00	2	5800	Tourist
40	SK	3	130	7.10.2013 0:00	7	30450	Tourist
41	CZ	1	130	7.10.2013 0:00	14	20300	Business
62	CZ	1	240	8.10.2013 0:00	7	10150	Tourist
27	CZ	1	220	9.10.2013 0:00	7	10150	Tourist
30	CZ	2	230	9.10.2013 0:00	14	40600	Tourist
41	AT	2	240	11.10.2013 0:00	1	2900	Business
74	CZ	1	210	12.10.2013 0:00	2	2900	Tourist
61	SK	2	210	12.10.2013 0:00	14	40600	Tourist
45	GE	1	130	12.10.2013 0:00	2	2900	Tourist
78	SK	1	320	13.10.2013 0:00	4	5800	Business
72	SK	2	220	14.10.2013 0:00	1	2900	Tourist
25	SK	2	210	14.10.2013 0:00	2	5800	Tourist
68	CZ	4	110	15.10.2013 0:00	62	359600	Tourist
46	GE	2	210	15.10.2013 0:00	7	20300	Tourist
41	PL	2	130	15.10.2013 0:00	4	11600	Tourist
54	CZ	2	320	15.10.2013 0:00	2	5800	Tourist
69	GE	3	320	16.10.2013 0:00	2	8700	Business
54	SK	2	210	16.10.2013 0:00	7	20300	Tourist
72	GE	3	240	16.10.2013 0:00	2	8700	Tourist
49	AT	2	230	16.10.2013 0:00	14	40600	Tourist
79	CZ	1	240	17.10.2013 0:00	2	2900	Business
63	GE	2	110	18.10.2013 0:00	21	60900	Tourist
56	PL	1	310	19.10.2013 0:00	21	30450	Tourist
72	GE	2	310	21.10.2013 0:00	2	5800	Tourist
51	GE	1	110	22.10.2013 0:00	14	20300	Business
20	GE	1	240	22.10.2013 0:00	2	2900	Tourist
79	SK	1	230	23.10.2013 0:00	1	1450	Tourist
52	SK	1	220	23.10.2013 0:00	1	1450	Tourist
56	SK	2	110	24.10.2013 0:00	2	5800	Tourist
33	SK	1	240	24.10.2013 0:00	7	10150	Business
68	GE	3	210	25.10.2013 0:00	2	8700	Tourist
26	SK	2	310	26.10.2013 0:00	7	20300	Tourist
36	SK	2	320	27.10.2013 0:00	8	23200	Tourist
70	CZ	3	220	27.10.2013 0:00	21	91350	Tourist
68	CZ	2	110	28.10.2013 0:00	7	20300	Tourist
20	SK	2	220	29.10.2013 0:00	7	20300	Tourist
43	CZ	1	120	30.10.2013 0:00	7	10150	Tourist
18	CZ	1	240	30.10.2013 0:00	7	10150	Tourist
45	CZ	3	130	1.11.2013 0:00	21	91350	Tourist
63	PL	1	310	2.11.2013 0:00	1	1450	Tourist
41	CZ	2	240	2.11.2013 0:00	14	40600	Tourist
44	SK	1	120	3.11.2013 0:00	21	30450	Tourist
44	GE	1	130	3.11.2013 0:00	7	10150	Tourist
72	CZ	2	240	3.11.2013 0:00	7	20300	Business
47	SK	1	210	3.11.2013 0:00	2	2900	Tourist
81	SK	3	220	4.11.2013 0:00	14	60900	Tourist
44	AT	3	230	4.11.2013 0:00	7	30450	Tourist
73	SK	1	320	4.11.2013 0:00	14	20300	Tourist
75	SK	1	240	6.11.2013 0:00	2	2900	Tourist
68	PL	4	310	6.11.2013 0:00	1	5800	Business
69	CZ	1	120	7.11.2013 0:00	7	10150	Tourist
62	CZ	1	130	9.11.2013 0:00	14	20300	Tourist
41	SK	4	220	10.11.2013 0:00	2	11600	Tourist
70	CZ	1	110	10.11.2013 0:00	7	10150	Tourist
69	SK	2	310	11.11.2013 0:00	14	40600	Business
76	SK	2	120	12.11.2013 0:00	1	2900	Tourist
39	SK	2	320	14.11.2013 0:00	7	20300	Tourist
67	CZ	1	240	15.11.2013 0:00	1	1450	Tourist
32	SK	1	230	15.11.2013 0:00	21	30450	Tourist
76	CZ	3	120	16.11.2013 0:00	5	21750	Business
76	PL	3	240	16.11.2013 0:00	14	60900	Business
28	GE	1	240	17.11.2013 0:00	21	30450	Tourist
73	GE	1	240	17.11.2013 0:00	7	10150	Tourist
24	CZ	2	120	17.11.2013 0:00	62	179800	Business
61	AT	3	120	18.11.2013 0:00	21	91350	Tourist
49	SK	2	110	18.11.2013 0:00	1	2900	Business
61	CZ	1	130	19.11.2013 0:00	7	10150	Tourist
58	CZ	1	130	20.11.2013 0:00	2	2900	Tourist
68	CZ	1	130	22.11.2013 0:00	2	2900	Business
46	CZ	2	240	23.11.2013 0:00	1	2900	Business
48	SK	4	220	23.11.2013 0:00	14	81200	Tourist
69	GE	1	230	25.11.2013 0:00	2	2900	Tourist
72	PL	1	120	27.11.2013 0:00	7	10150	Tourist
53	GE	2	110	27.11.2013 0:00	1	2900	Tourist
36	AT	2	240	28.11.2013 0:00	7	20300	Tourist
33	CZ	1	220	29.11.2013 0:00	21	30450	Tourist
60	GE	1	240	29.11.2013 0:00	21	30450	Tourist
48	CZ	1	230	29.11.2013 0:00	8	11600	Tourist
52	CZ	2	310	29.11.2013 0:00	1	2900	Tourist
45	GE	1	320	29.11.2013 0:00	14	20300	Tourist
25	CZ	1	210	30.11.2013 0:00	6	8700	Business
22	GE	1	310	1.12.2013 0:00	1	1450	Tourist
57	CZ	2	110	1.12.2013 0:00	3	8700	Tourist
63	SK	4	210	1.12.2013 0:00	14	81200	Tourist
68	GE	4	210	2.12.2013 0:00	14	81200	Tourist
35	CZ	2	310	2.12.2013 0:00	14	40600	Tourist
24	PL	1	130	3.12.2013 0:00	21	30450	Tourist
50	SK	1	230	3.12.2013 0:00	14	20300	Business
71	CZ	1	220	4.12.2013 0:00	14	20300	Tourist
42	CZ	3	110	6.12.2013 0:00	2	8700	Tourist
29	CZ	1	220	7.12.2013 0:00	7	10150	Business
33	CZ	1	210	8.12.2013 0:00	2	2900	Tourist
75	SK	1	230	9.12.2013 0:00	14	20300	Tourist
81	SK	2	110	9.12.2013 0:00	21	60900	Business
80	CZ	1	230	11.12.2013 0:00	2	2900	Tourist
75	CZ	2	310	11.12.2013 0:00	2	5800	Tourist
66	GE	2	210	12.12.2013 0:00	14	40600	Business
79	CZ	4	220	12.12.2013 0:00	21	121800	Business
74	CZ	1	220	14.12.2013 0:00	14	20300	Tourist
80	CZ	1	320	14.12.2013 0:00	14	20300	Tourist
67	SK	3	320	14.12.2013 0:00	14	60900	Tourist
57	GE	2	320	15.12.2013 0:00	7	20300	Tourist
77	CZ	2	310	21.12.2013 0:00	14	40600	Tourist
20	SK	1	130	22.12.2013 0:00	2	2900	Tourist
77	PL	1	210	22.12.2013 0:00	21	30450	Tourist
31	SK	2	130	22.12.2013 0:00	14	40600	Tourist
25	SK	3	130	24.12.2013 0:00	1	4350	Tourist
21	CZ	2	320	27.12.2013 0:00	7	20300	Tourist
57	PL	4	310	28.12.2013 0:00	1	5800	Tourist
43	PL	2	240	28.12.2013 0:00	14	40600	Tourist
50	CZ	2	230	29.12.2013 0:00	7	20300	Tourist
57	CZ	3	130	29.12.2013 0:00	21	91350	Tourist
70	CZ	4	220	30.12.2013 0:00	8	46400	Tourist
29	PL	2	320	31.12.2013 0:00	14	40600	Tourist
21	GE	2	310	31.12.2013 0:00	14	40600	Tourist
21	SK	1	110	31.12.2013 0:00	21	30450	Tourist
