HVek	HPohlavi	HMesto	HMesto_X	HMesto_Y	HStat	PPobytOd	PNoci	POsob	PTypPobytu	PCenaUbytovani	PCenaStrava	PCenaSleva	PCenaCelkem	DHodnoceni	DUbytovani	DStrava	DPersonal	DZabava	MTeplota	MObloha	SEUR
43	žena	Berlín	13.3908886	52.5176189	Nìmecko	26.5.2012	1	4	rekreaèní	4840.00	0.00	200.00	4640.00	nespokojen	38	28	29	2	21.3	sluneèno	25.43
47	muž	Ústí nad Labem	14.0390819	50.6700692	ÈR	26.5.2012	21	4	rekreaèní	101640.00	0.00	1400.00	100240.00	prùmìr	59	43	48	59	21.3	sluneèno	25.43
35	žena	Mnichov	11.5836375	48.1364669	Nìmecko	27.5.2012	1	3	rekreaèní	3630.00	0.00	200.00	3430.00	spokojen	83	99	73	56	28.3	zataženo	25.43
82	muž	Mnichov	11.5836375	48.1364669	Nìmecko	27.5.2012	1	3	rekreaèní	3630.00	0.00	200.00	3430.00	spokojen	86	91	62	22	28.3	zataženo	25.43
77	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.5.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	nespokojen	15	33	29	48	21.5	zataženo	25.5
36	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.5.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	nespokojen	31	39	31	39	21.5	zataženo	25.5
63	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.5.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	nespokojen	13	40	16	1	21.5	zataženo	25.5
55	muž	Praha	14.4212806	50.0874967	ÈR	1.6.2012	26	2	rekreaèní	62920.00	7800.00	200.00	70520.00	nespokojen	13	23	37	47	12.7	zataženo	25.79
23	žena	Praha	14.4212806	50.0874967	ÈR	1.6.2012	26	4	rekreaèní	125840.00	15600.00	200.00	141240.00	nespokojen	38	34	16	37	12.7	zataženo	25.79
38	muž	Praha	14.4212806	50.0874967	ÈR	1.6.2012	26	1	rekreaèní	31460.00	3900.00	200.00	35160.00	nespokojen	5	36	23	40	12.7	zataženo	25.79
76	muž	Praha	14.4212806	50.0874967	ÈR	1.6.2012	26	3	rekreaèní	94380.00	0.00	200.00	94180.00	nespokojen	31	28	37	37	12.7	zataženo	25.79
58	muž	Praha	14.4212806	50.0874967	ÈR	1.6.2012	26	3	rekreaèní	94380.00	11700.00	200.00	105880.00	nespokojen	30	39	39	47	12.7	zataženo	25.79
53	muž	Mnichov	11.5836375	48.1364669	Nìmecko	2.6.2012	21	4	rekreaèní	101640.00	12600.00	200.00	114040.00	prùmìr	43	66	43	51	16.7	zataženo	25.79
28	muž	Mnichov	11.5836375	48.1364669	Nìmecko	2.6.2012	21	4	rekreaèní	101640.00	0.00	200.00	101440.00	prùmìr	26	67	72	33	16.7	zataženo	25.79
51	žena	Berlín	13.3908886	52.5176189	Nìmecko	2.6.2012	1	4	rekreaèní	4840.00	0.00	200.00	4640.00	nespokojen	31	31	15	39	16.7	zataženo	25.79
66	muž	Mnichov	11.5836375	48.1364669	Nìmecko	4.6.2012	28	4	služební	135520.00	16800.00	200.00	152120.00	prùmìr	50	65	41	62	16.8	zataženo	25.73
41	žena	Mnichov	11.5836375	48.1364669	Nìmecko	4.6.2012	28	1	služební	33880.00	4200.00	200.00	37880.00	prùmìr	49	44	55	61	16.8	zataženo	25.73
62	žena	Mnichov	11.5836375	48.1364669	Nìmecko	4.6.2012	28	4	služební	135520.00	16800.00	200.00	152120.00	prùmìr	34	41	47	46	16.8	zataženo	25.73
30	muž	Jihlava	15.5909008	49.3963828	ÈR	5.6.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	7	21	24	39	16.8	zataženo	25.72
29	muž	Vídeò	16.3736767	48.2115631	Rakousko	5.6.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	14	27	21	56	16.8	zataženo	25.72
55	žena	Mnichov	11.5836375	48.1364669	Nìmecko	5.6.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	23	39	40	40	16.8	zataženo	25.72
28	muž	Hradec Králové	15.8353464	50.2100194	ÈR	5.6.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	29	33	31	47	16.8	zataženo	25.72
31	žena	Vídeò	16.3736767	48.2115631	Rakousko	5.6.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	5	37	25	71	16.8	zataženo	25.72
36	žena	Vídeò	16.3736767	48.2115631	Rakousko	5.6.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	nespokojen	7	23	28	53	16.8	zataženo	25.72
73	žena	Praha	14.4212806	50.0874967	ÈR	8.6.2012	26	3	rekreaèní	94380.00	11700.00	200.00	105880.00	nespokojen	15	36	28	54	22.1	zataženo	25.48
66	žena	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	450.00	200.00	3880.00	prùmìr	33	65	59	60	23.6	zataženo	25.48
27	žena	Jihlava	15.5909008	49.3963828	ÈR	9.6.2012	1	3	rekreaèní	3630.00	0.00	200.00	3430.00	prùmìr	58	54	58	64	23.6	zataženo	25.48
30	žena	Mnichov	11.5836375	48.1364669	Nìmecko	9.6.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	44	66	42	57	23.6	zataženo	25.48
77	žena	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	0.00	200.00	3430.00	prùmìr	50	54	58	36	23.6	zataženo	25.48
24	muž	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	450.00	200.00	3880.00	prùmìr	28	55	43	33	23.6	zataženo	25.48
62	muž	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	450.00	200.00	3880.00	prùmìr	50	59	55	51	23.6	zataženo	25.48
20	žena	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	0.00	200.00	3430.00	prùmìr	49	53	43	61	23.6	zataženo	25.48
63	muž	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	450.00	200.00	3880.00	prùmìr	50	67	47	57	23.6	zataženo	25.48
55	žena	Salzburg	13.0475658	47.798095	Rakousko	9.6.2012	1	3	rekreaèní	3630.00	450.00	200.00	3880.00	prùmìr	41	55	44	51	23.6	zataženo	25.48
56	žena	Mnichov	11.5836375	48.1364669	Nìmecko	11.6.2012	28	1	služební	33880.00	4200.00	200.00	37880.00	prùmìr	44	60	60	45	25.1	srážky	25.4
25	žena	Mnichov	11.5836375	48.1364669	Nìmecko	11.6.2012	28	2	služební	67760.00	0.00	200.00	67560.00	prùmìr	35	41	47	34	25.1	srážky	25.4
18	žena	Mnichov	11.5836375	48.1364669	Nìmecko	11.6.2012	28	1	služební	33880.00	4200.00	200.00	37880.00	prùmìr	58	66	55	50	25.1	srážky	25.4
43	muž	Mnichov	11.5836375	48.1364669	Nìmecko	11.6.2012	28	4	služební	135520.00	16800.00	200.00	152120.00	prùmìr	28	49	69	34	25.1	srážky	25.4
44	žena	Zlín	17.6700633	49.2280669	ÈR	11.6.2012	28	4	služební	135520.00	16800.00	200.00	152120.00	prùmìr	60	49	71	60	25.1	srážky	25.4
21	žena	Vídeò	16.3736767	48.2115631	Rakousko	12.6.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	8	21	26	4	19.2	sluneèno	25.68
70	muž	Brno	16.6153758	49.1921808	ÈR	15.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	59	55	54	48	25.9	srážky	25.59
65	muž	Salzburg	13.0475658	47.798095	Rakousko	16.6.2012	1	3	rekreaèní	3630.00	450.00	200.00	3880.00	prùmìr	49	67	56	61	25.8	sluneèno	25.59
70	muž	Praha	14.4212806	50.0874967	ÈR	18.6.2012	28	4	služební	135520.00	16800.00	200.00	152120.00	prùmìr	41	51	58	35	27.3	srážky	25.51
51	žena	Mnichov	11.5836375	48.1364669	Nìmecko	18.6.2012	28	4	služební	135520.00	0.00	200.00	135320.00	prùmìr	52	42	72	47	27.3	srážky	25.51
30	žena	Èeské Budìjovice	14.4757883	48.9763169	ÈR	22.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	98	92	87	27	22.2	zataženo	25.77
43	žena	Brno	16.6153758	49.1921808	ÈR	22.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	84	91	64	49	22.2	zataženo	25.77
36	muž	Vídeò	16.3736767	48.2115631	Rakousko	22.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	35	42	42	63	22.2	zataženo	25.77
71	žena	Katovice	19.0241283	50.2592108	Polsko	22.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	spokojen	87	100	61	53	22.2	zataženo	25.77
41	muž	Praha	14.4212806	50.0874967	ÈR	22.6.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	98	84	99	27	22.2	zataženo	25.77
18	žena	Brno	16.6153758	49.1921808	ÈR	22.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	33	66	60	48	22.2	zataženo	25.77
29	muž	Pardubice	15.780415	50.0409775	ÈR	22.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	89	92	64	25	22.2	zataženo	25.77
52	muž	Drážïany	13.7397044	51.0497456	Nìmecko	23.6.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	6	22	26	1	22.9	zataženo	25.77
65	žena	Drážïany	13.7397044	51.0497456	Nìmecko	23.6.2012	21	3	rekreaèní	76230.00	9450.00	200.00	85480.00	nespokojen	37	27	28	69	22.9	zataženo	25.77
65	žena	Salzburg	13.0475658	47.798095	Rakousko	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	93	98	89	54	25.5	zataženo	25.64
66	muž	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	83	83	92	21	25.5	zataženo	25.64
29	muž	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	92	88	76	21	25.5	zataženo	25.64
29	muž	Praha	14.4212806	50.0874967	ÈR	29.6.2012	20	1	rekreaèní	24200.00	3000.00	200.00	27000.00	spokojen	99	95	89	21	25.5	zataženo	25.64
54	žena	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	85	86	87	56	25.5	zataženo	25.64
24	muž	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	25	55	45	60	25.5	zataženo	25.64
24	muž	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	spokojen	87	91	91	55	25.5	zataženo	25.64
21	žena	Salzburg	13.0475658	47.798095	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	34	42	45	35	25.5	zataženo	25.64
62	žena	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	89	98	74	49	25.5	zataženo	25.64
53	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	66	45	47	25.5	zataženo	25.64
56	žena	Praha	14.4212806	50.0874967	ÈR	29.6.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	97	83	90	23	25.5	zataženo	25.64
25	muž	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	57	42	45	48	25.5	zataženo	25.64
39	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	43	43	60	57	25.5	zataženo	25.64
53	žena	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	spokojen	89	97	73	27	25.5	zataženo	25.64
21	žena	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	42	49	41	58	25.5	zataženo	25.64
51	žena	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	spokojen	93	95	90	22	25.5	zataženo	25.64
19	žena	Praha	14.4212806	50.0874967	ÈR	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	51	68	42	57	25.5	zataženo	25.64
73	muž	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	87	89	88	22	25.5	zataženo	25.64
76	žena	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	52	52	46	50	25.5	zataženo	25.64
25	žena	Praha	14.4212806	50.0874967	ÈR	29.6.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	93	85	99	58	25.5	zataženo	25.64
53	muž	Brno	16.6153758	49.1921808	ÈR	29.6.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	34	65	43	51	25.5	zataženo	25.64
75	muž	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	95	95	61	50	25.5	zataženo	25.64
66	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	26	57	60	51	25.5	zataženo	25.64
24	žena	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	spokojen	89	95	92	49	25.5	zataženo	25.64
40	žena	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	93	84	98	58	25.5	zataženo	25.64
33	muž	Varšava	21.0099069	52.2342533	Polsko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	43	44	43	59	25.5	zataženo	25.64
73	muž	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	3	rekreaèní	7260.00	0.00	200.00	7060.00	spokojen	96	89	74	59	25.5	zataženo	25.64
18	muž	Katovice	19.0241283	50.2592108	Polsko	29.6.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	96	82	100	53	25.5	zataženo	25.64
41	žena	Pardubice	15.780415	50.0409775	ÈR	29.6.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	spokojen	96	88	88	51	25.5	zataženo	25.64
29	muž	Vídeò	16.3736767	48.2115631	Rakousko	29.6.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	28	68	58	46	25.5	zataženo	25.64
63	muž	Praha	14.4212806	50.0874967	ÈR	29.6.2012	20	1	rekreaèní	24200.00	0.00	200.00	24000.00	spokojen	94	88	88	58	25.5	zataženo	25.64
29	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	1	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	39	23	27	38	24.9	sluneèno	25.64
43	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	2	rekreaèní	50820.00	0.00	200.00	50620.00	nespokojen	29	30	28	55	24.9	sluneèno	25.64
67	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	2	rekreaèní	50820.00	6300.00	200.00	56920.00	nespokojen	16	39	16	40	24.9	sluneèno	25.64
65	muž	Nitra	18.0902903	48.3139558	Slovensko	30.6.2012	1	1	rekreaèní	1210.00	150.00	200.00	1160.00	spokojen	89	97	76	57	24.9	sluneèno	25.64
30	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	4	rekreaèní	101640.00	12600.00	200.00	114040.00	nespokojen	15	36	24	4	24.9	sluneèno	25.64
20	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	16	21	37	55	24.9	sluneèno	25.64
31	muž	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	13	38	30	3	24.9	sluneèno	25.64
38	muž	Salzburg	13.0475658	47.798095	Rakousko	30.6.2012	21	1	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	40	26	24	69	24.9	sluneèno	25.64
21	žena	Drážïany	13.7397044	51.0497456	Nìmecko	30.6.2012	21	1	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	37	40	27	37	24.9	sluneèno	25.64
80	žena	Vídeò	16.3736767	48.2115631	Rakousko	6.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	41	53	33	31.1	srážky	25.5
75	žena	Vídeò	16.3736767	48.2115631	Rakousko	6.7.2012	20	2	rekreaèní	48400.00	0.00	200.00	48200.00	spokojen	83	89	85	24	31.1	srážky	25.5
58	muž	Zlín	17.6700633	49.2280669	ÈR	6.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	43	65	55	64	31.1	srážky	25.5
53	muž	Praha	14.4212806	50.0874967	ÈR	6.7.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	86	90	74	24	31.1	srážky	25.5
77	muž	Vídeò	16.3736767	48.2115631	Rakousko	6.7.2012	2	3	rekreaèní	7260.00	900.00	200.00	7960.00	prùmìr	50	57	48	48	31.1	srážky	25.5
65	muž	Praha	14.4212806	50.0874967	ÈR	6.7.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	85	83	85	25	31.1	srážky	25.5
48	žena	Mnichov	11.5836375	48.1364669	Nìmecko	6.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	58	66	70	35	31.1	srážky	25.5
82	žena	Brno	16.6153758	49.1921808	ÈR	6.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	28	51	54	50	31.1	srážky	25.5
35	žena	Ostrava	18.2825511	49.8341497	ÈR	6.7.2012	20	2	rekreaèní	48400.00	0.00	200.00	48200.00	spokojen	95	91	73	26	31.1	srážky	25.5
55	muž	Praha	14.4212806	50.0874967	ÈR	6.7.2012	20	2	rekreaèní	48400.00	6000.00	200.00	54200.00	spokojen	88	98	88	57	31.1	srážky	25.5
20	muž	Brno	16.6153758	49.1921808	ÈR	6.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	51	52	72	34	31.1	srážky	25.5
54	muž	Nitra	18.0902903	48.3139558	Slovensko	7.7.2012	1	2	rekreaèní	2420.00	0.00	200.00	2220.00	spokojen	96	92	98	25	28.2	srážky	25.5
77	žena	Nitra	18.0902903	48.3139558	Slovensko	7.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	88	93	90	26	28.2	srážky	25.5
77	muž	Vídeò	16.3736767	48.2115631	Rakousko	7.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	16	38	31	48	28.2	srážky	25.5
31	muž	Nitra	18.0902903	48.3139558	Slovensko	7.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	98	97	87	59	28.2	srážky	25.5
31	muž	Nitra	18.0902903	48.3139558	Slovensko	7.7.2012	1	4	rekreaèní	4840.00	600.00	200.00	5240.00	spokojen	81	90	86	60	28.2	srážky	25.5
65	žena	Mnichov	11.5836375	48.1364669	Nìmecko	7.7.2012	1	2	rekreaèní	2420.00	0.00	200.00	2220.00	spokojen	100	89	90	26	28.2	srážky	25.5
81	muž	Vídeò	16.3736767	48.2115631	Rakousko	7.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	21	40	16	39	28.2	srážky	25.5
54	muž	Salzburg	13.0475658	47.798095	Rakousko	7.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	83	97	73	49	28.2	srážky	25.5
43	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	58	66	46	35	25.2	sluneèno	25.4
40	muž	Ostrava	18.2825511	49.8341497	ÈR	13.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	50	43	70	51	25.2	sluneèno	25.4
47	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	57	70	60	25.2	sluneèno	25.4
42	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	51	59	55	34	25.2	sluneèno	25.4
70	žena	Praha	14.4212806	50.0874967	ÈR	13.7.2012	20	1	rekreaèní	24200.00	0.00	200.00	24000.00	spokojen	94	81	89	53	25.2	sluneèno	25.4
74	muž	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	51	67	71	57	25.2	sluneèno	25.4
81	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	60	41	43	48	25.2	sluneèno	25.4
62	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	3	rekreaèní	7260.00	0.00	200.00	7060.00	prùmìr	58	65	57	59	25.2	sluneèno	25.4
53	muž	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	42	66	55	64	25.2	sluneèno	25.4
38	muž	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	35	41	54	59	25.2	sluneèno	25.4
82	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	51	49	58	46	25.2	sluneèno	25.4
70	žena	Liberec	15.0663036	50.7709239	ÈR	13.7.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	51	57	45	61	25.2	sluneèno	25.4
74	žena	Linec	14.2862742	48.3066489	Rakousko	13.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	57	68	71	52	25.2	sluneèno	25.4
25	žena	Vídeò	16.3736767	48.2115631	Rakousko	14.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	16	30	27	38	25.8	sluneèno	25.4
25	muž	Gdaòsk	18.6560864	54.3482911	Polsko	14.7.2012	1	1	rekreaèní	1210.00	0.00	200.00	1010.00	spokojen	99	97	87	23	25.8	sluneèno	25.4
26	muž	Èeské Budìjovice	14.4757883	48.9763169	ÈR	14.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	91	88	73	59	25.8	sluneèno	25.4
76	žena	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	41	43	72	62	24.4	sluneèno	25.33
58	muž	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	1	služební	1210.00	150.00	0.00	1360.00	prùmìr	44	54	46	58	24.4	sluneèno	25.33
74	muž	Ústí nad Labem	14.0390819	50.6700692	ÈR	19.7.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	60	52	72	47	24.4	sluneèno	25.33
51	muž	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	1	služební	1210.00	150.00	0.00	1360.00	prùmìr	26	53	60	34	24.4	sluneèno	25.33
30	žena	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	26	65	54	48	24.4	sluneèno	25.33
35	muž	Mnichov	11.5836375	48.1364669	Nìmecko	19.7.2012	1	1	služební	1210.00	150.00	0.00	1360.00	prùmìr	49	53	57	47	24.4	sluneèno	25.33
74	muž	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	33	60	45	45	24.4	sluneèno	25.33
73	žena	Praha	14.4212806	50.0874967	ÈR	19.7.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	49	66	43	36	24.4	sluneèno	25.33
24	muž	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	41	43	46	48	23.1	zataženo	25.57
70	muž	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	58	57	41	60	23.1	zataženo	25.57
33	žena	Linec	14.2862742	48.3066489	Rakousko	20.7.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	27	60	58	58	23.1	zataženo	25.57
66	muž	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	42	44	42	51	23.1	zataženo	25.57
27	muž	Praha	14.4212806	50.0874967	ÈR	20.7.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	41	68	72	50	23.1	zataženo	25.57
36	žena	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	52	55	43	58	23.1	zataženo	25.57
28	muž	Linec	14.2862742	48.3066489	Rakousko	20.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	60	57	58	36	23.1	zataženo	25.57
35	žena	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	27	60	57	45	23.1	zataženo	25.57
41	žena	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	35	44	54	58	23.1	zataženo	25.57
58	žena	Linec	14.2862742	48.3066489	Rakousko	20.7.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	34	58	58	57	23.1	zataženo	25.57
80	muž	Ústí nad Labem	14.0390819	50.6700692	ÈR	20.7.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	30	26	24	53	23.1	zataženo	25.57
31	muž	Plzeò	13.3771556	49.7490406	ÈR	20.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	25	51	42	50	23.1	zataženo	25.57
56	muž	Mnichov	11.5836375	48.1364669	Nìmecko	20.7.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	26	65	69	64	23.1	zataženo	25.57
43	muž	Praha	14.4212806	50.0874967	ÈR	21.7.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	nespokojen	31	23	39	54	23.8	zataženo	25.57
22	muž	Praha	14.4212806	50.0874967	ÈR	21.7.2012	1	2	rekreaèní	2420.00	300.00	200.00	2520.00	spokojen	83	89	62	49	23.8	zataženo	25.57
19	žena	Brno	16.6153758	49.1921808	ÈR	21.7.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	nespokojen	15	37	24	47	23.8	zataženo	25.57
